,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0864-0624:00_1470191240,46668,625.155,864.763,244.817,242.71,159.60299999999998,246.58700000000002,1,521,799,147.083,243.0,0,1470191240,298626.6091441271,False,False,0,0.0
1,2,flattened:0001-0971-2113:00_1470191240,48565,2113.5879999999997,970.3560000000001,253.567,243.86,79.204,254.53099999999998,1,2079,1093,74.271,244.0,0,1470191240,315293.7615364517,False,False,0,1.0
2,3,flattened:0001-0979-1087:00_1470191240,48422,1087.36,978.793,251.051,245.579,11.764000000000001,252.10299999999998,1,980,1043,31.041999999999998,245.0,0,1470191240,312592.1178082971,False,False,0,2.0
3,4,flattened:0001-1333-1298:00_1470191240,49029,1298.197,1333.8670000000002,253.82,245.945,83.29700000000001,255.40900000000002,1,1265,1457,75.256,246.0,0,1470191240,320785.8813854421,False,False,0,3.0
4,5,flattened:0001-1345-1811:00_1470191240,46539,1811.707,1345.539,245.02700000000002,241.832,41.251999999999995,246.479,1,1718,1426,41.711000000000006,242.77200000000002,0,1470191240,298012.19519023795,False,False,0,4.0
5,6,flattened:0001-1368-2288:00_1470191240,48259,2288.28,1367.671,253.468,242.418,29.455,254.945,1,2186,1443,34.937,243.262,0,1470191240,314679.4238031538,False,False,0,5.0
6,7,flattened:0002-0862-0626:01_1470191300,46523,626.313,862.265,243.683,243.082,171.87900000000002,245.28400000000002,2,504,876,9.386000000000001,243.0,1,1470191300,296248.6305538308,False,False,0,0.0
7,8,flattened:0002-0971-2112:01_1470191300,48559,2113.675,969.607,253.044,244.334,74.766,254.12599999999998,2,2046,1076,54.934,245.0,1,1470191300,316424.0249228461,False,False,0,1.0
8,9,flattened:0002-0978-1087:01_1470191300,48237,1087.099,976.975,250.09400000000002,245.576,18.748,251.829,2,998,1065,43.391000000000005,245.613,1,1470191300,313232.0717607059,False,False,0,2.0
9,10,flattened:0002-1331-1299:01_1470191300,49220,1298.788,1331.58,254.38,246.359,80.592,255.63299999999998,2,1271,1456,75.964,246.0,1,1470191300,321215.99817585456,False,False,0,3.0
10,11,flattened:0002-1345-1812:01_1470191300,46763,1813.4279999999999,1345.3029999999999,245.00400000000002,243.018,21.436999999999998,246.295,2,1745,1447,56.762,243.303,1,1470191300,298646.7381498349,False,False,0,4.0
11,12,flattened:0002-1367-2289:01_1470191300,48246,2289.03,1367.361,253.58599999999998,242.24,27.665,254.52700000000002,2,2179,1431,30.191999999999997,242.84599999999998,1,1470191300,313101.7449176353,False,False,0,5.0
12,13,flattened:0003-0861-0626:02_1470191360,46639,627.073,860.923,244.222,243.15099999999998,10.89,245.66,3,504,869,4.202,243.0,2,1470191360,296933.5308282949,False,False,0,0.0
13,14,flattened:0003-0971-2114:02_1470191360,48624,2114.759,970.2189999999999,252.972,244.73,77.531,254.018,3,2095,1096,79.796,245.675,2,1470191360,317503.60989289056,False,False,0,1.0
14,15,flattened:0003-0976-1087:02_1470191360,48371,1086.973,975.435,250.203,246.15099999999998,11.452,251.127,3,1015,1078,51.305,245.0,2,1470191360,310754.5230269404,False,False,0,2.0
15,16,flattened:0003-1331-1300:02_1470191360,49119,1299.877,1331.349,254.454,245.782,89.361,255.666,3,1268,1455,76.888,245.0,2,1470191360,319361.9486247021,False,False,0,3.0
16,17,flattened:0003-1344-1813:02_1470191360,46932,1814.141,1345.125,244.898,244.002,17.198,246.28799999999998,3,1695,1378,15.786,244.454,2,1470191360,300745.0971975731,False,False,0,4.0
17,18,flattened:0003-1368-2289:02_1470191360,48226,2288.847,1368.326,253.91,241.83,32.126,255.049,3,2186,1444,35.747,242.84900000000002,2,1470191360,314094.2715691639,False,False,0,5.0
19,20,flattened:0005-0919-0807:04_1470191480,38736,807.163,917.997,230.054,214.386,64.476,234.09400000000002,5,774,1032,73.113,216.326,4,1470191480,232536.89506919973,True,True,1,6.0
20,21,flattened:0005-1218-1268:04_1470191480,38535,1272.997,1218.424,226.429,216.687,8.135,248.485,5,1149,1272,20.988000000000003,218.533,4,1470191480,259202.82437790706,True,True,1,7.0
21,22,flattened:0005-1613-0788:04_1470191480,39809,789.133,1614.361,235.483,215.245,35.371,238.195,5,679,1657,19.88,215.75099999999998,4,1470191480,238040.82752353317,True,True,1,8.0
22,23,flattened:0006-0998-0857:05_1470191540,38619,858.202,996.201,229.455,214.296,73.426,233.206,6,841,1113,82.113,215.271,5,1470191540,229540.5386423595,True,True,1,6.0
23,24,flattened:0006-1287-1338:05_1470191540,37903,1338.231,1288.257,221.81,217.572,122.63,224.377,6,1338,1399,86.679,218.578,5,1470191540,221165.65983305548,True,True,1,7.0
