,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0403-2360:00_1470203470,51478,2359.629,401.723,261.08299999999997,251.046,69.581,263.403,1,2328,530,75.48899999999999,252.352,0,1470203470,349115.56459660473,False,False,0,0.0
1,2,flattened:0001-0754-2380:00_1470203470,50911,2380.515,754.488,259.818,249.49,141.487,261.939,1,2298,654,132.215,250.31599999999997,0,1470203470,342056.2175173096,False,False,0,1.0
2,3,flattened:0001-0987-1824:00_1470203470,50606,1824.66,986.225,260.589,247.262,23.326,262.774,1,1714,1055,31.936,247.62,0,1470203470,338341.7190585239,False,False,0,2.0
3,4,flattened:0001-1097-1150:00_1470203470,51666,1149.605,1097.5339999999999,264.54900000000004,248.662,30.761,270.17400000000004,1,1048,1185,43.8,251.023,0,1470203470,360283.6818685322,False,False,0,3.0
4,5,flattened:0001-1226-1469:00_1470203470,50012,1470.237,1225.274,260.78,244.18,162.009,261.966,1,1344,1188,163.364,244.613,0,1470203470,330811.36217475444,False,False,0,4.0
5,6,flattened:0002-0402-2360:01_1470203530,50866,2360.139,402.017,258.573,250.47,72.493,260.655,2,2339,531,78.043,251.72400000000002,1,1470203530,342304.6791569001,False,False,0,0.0
6,7,flattened:0002-0755-2378:01_1470203530,50964,2378.9320000000002,755.14,260.60400000000004,248.99599999999998,140.27100000000002,262.757,2,2295,655,131.76,250.273,1,1470203530,343611.0769277512,False,False,0,1.0
7,8,flattened:0002-0987-1828:01_1470203530,50532,1828.281,987.201,262.149,245.43099999999998,17.589000000000002,263.941,2,1710,1043,25.109,245.937,1,1470203530,337316.58229392365,False,False,0,2.0
8,9,flattened:0002-1096-1150:01_1470203530,51629,1149.5839999999998,1097.42,265.971,247.155,35.875,271.09,2,1037,1173,35.39,248.90200000000002,1,1470203530,357790.5427264491,False,False,0,3.0
9,10,flattened:0002-1226-1470:01_1470203530,50021,1469.8110000000001,1225.995,258.628,246.25599999999997,165.523,259.763,2,1345,1189,163.44899999999998,246.421,1,1470203530,330038.124680632,False,False,0,4.0
10,11,flattened:0003-0402-2360:02_1470203590,50521,2359.9610000000002,402.00699999999995,257.421,249.88400000000001,73.67699999999999,259.48,3,2326,527,73.66,251.0,2,1470203590,338512.776854727,False,False,0,0.0
11,12,flattened:0003-0755-2378:02_1470203590,51112,2378.854,755.0010000000001,260.449,249.868,139.638,262.155,3,2309,644,124.902,250.74200000000002,2,1470203590,343343.90876957885,False,False,0,1.0
12,13,flattened:0003-0988-1829:02_1470203590,50514,1829.168,987.53,263.694,243.90599999999998,11.652999999999999,265.65,3,1704,1027,17.753,245.0,2,1470203590,338851.08396889194,False,False,0,2.0
13,14,flattened:0003-1095-1148:02_1470203590,51730,1147.984,1096.3139999999999,266.928,246.75,42.278999999999996,272.501,3,1055,1195,47.528,248.19400000000002,2,1470203590,359243.6436674113,False,False,0,3.0
14,15,flattened:0003-1225-1470:02_1470203590,50114,1469.744,1224.776,258.078,247.24,170.146,258.925,3,1346,1186,164.085,247.0,2,1470203590,329531.7704055613,False,False,0,4.0
16,17,flattened:0005-0556-0578:04_1470203710,40636,579.9209999999999,556.2280000000001,236.229,219.02200000000002,166.252,242.736,5,474,502,150.372,220.22400000000002,4,1470203710,252504.59088306956,True,False,1,5.0
17,18,flattened:0005-1144-1765:04_1470203710,44038,1763.1979999999999,1144.674,245.523,228.373,76.521,249.576,5,1748,1268,83.55799999999999,230.31599999999997,4,1470203710,281235.02122266864,True,False,1,6.0
18,19,flattened:0005-1252-0972:04_1470203710,36892,977.035,1253.558,225.61,208.202,20.283,228.63299999999998,5,858,1255,175.736,207.736,4,1470203710,211446.51990338773,True,False,1,7.0
19,20,flattened:0006-0557-0579:05_1470203772,40617,580.72,556.524,235.96099999999998,219.168,165.53900000000002,242.157,6,475,502,149.19899999999998,220.247,5,1470203772,251595.93346271466,True,False,1,5.0
20,21,flattened:0006-1148-1762:05_1470203772,43665,1760.3729999999998,1149.174,244.585,227.30700000000002,84.506,249.514,6,1752,1273,86.323,228.351,5,1470203772,277686.35460866906,True,False,1,6.0
21,22,flattened:0006-1252-0971:05_1470203772,36914,976.995,1253.04,226.18400000000003,207.797,21.215999999999998,230.25400000000002,6,857,1255,174.017,207.13299999999998,5,1470203772,212929.81803773323,True,False,1,7.0
22,23,flattened:0007-0557-0579:06_1470203830,40712,580.526,556.5509999999999,236.02599999999998,219.62099999999998,167.595,241.588,7,471,511,155.026,220.812,6,1470203830,251589.40426944502,True,False,1,5.0
23,24,flattened:0007-1148-1762:06_1470203830,43728,1760.1960000000001,1148.616,244.829,227.408,83.90299999999999,249.69,7,1746,1272,83.33,228.697,6,1470203830,278597.34834943904,True,False,1,6.0
