,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0364-0959:00_1470251008,60914,956.163,364.406,298.298,260.002,16.486,326.719,1,800,402,14.717,265.91200000000003,0,1470251008,4237229.170163365,0,False,0,0.0
1,2,flattened:0001-0605-1312:00_1470251008,54579,1312.785,603.3969999999999,270.986,256.441,30.951,278.83,1,1214,701,47.325,256.843,0,1470251008,3129162.5786074908,0,False,0,1.0
2,3,flattened:0001-0868-1709:00_1470251008,56099,1707.859,869.2819999999999,280.265,254.857,149.234,291.568,1,1569,818,161.192,260.933,0,1470251008,3433428.934573655,0,False,0,2.0
3,4,flattened:0001-0962-1021:00_1470251008,60437,1028.318,959.1210000000001,296.765,259.29900000000004,148.993,319.695,1,908,860,141.732,270.698,0,1470251008,4189406.058374948,0,False,0,3.0
4,5,flattened:0001-1131-0606:00_1470251008,54960,607.757,1127.883,271.275,257.957,151.91299999999998,289.689,1,468,1090,162.316,256.085,0,1470251008,3309538.1008958546,0,False,0,4.0
5,6,flattened:0001-1245-2049:00_1470251008,55865,2048.721,1243.9089999999999,280.428,253.64700000000002,10.902000000000001,299.301,1,1921,1320,30.076999999999998,250.0,0,1470251008,3374116.1336602983,0,False,0,5.0
6,7,flattened:0002-0361-0964:01_1470251070,60861,961.5219999999999,360.86800000000005,298.207,259.855,8.634,326.106,2,802,381,6.515,266.341,1,1470251070,4233283.672239658,0,False,0,0.0
7,8,flattened:0002-0600-1312:01_1470251070,54698,1312.668,597.8969999999999,271.551,256.466,31.503,279.116,2,1205,687,41.513999999999996,255.821,1,1470251070,3116282.1416944475,0,False,0,1.0
8,9,flattened:0002-0867-1709:01_1470251070,55926,1707.9879999999998,868.758,280.375,253.97099999999998,150.554,292.022,2,1570,815,159.765,261.265,1,1470251070,3448103.203891168,0,False,0,2.0
9,10,flattened:0002-0956-1019:01_1470251070,60383,1025.652,953.737,297.422,258.494,146.44899999999998,321.475,2,908,848,138.026,270.358,1,1470251070,4220135.44137712,0,False,0,3.0
10,11,flattened:0002-1128-0605:01_1470251070,54890,606.85,1124.99,270.858,258.025,143.517,290.462,2,472,1072,157.319,255.18099999999998,1,1470251070,3307155.546378674,0,False,0,4.0
11,12,flattened:0002-1244-2049:01_1470251070,55872,2048.091,1244.395,282.05,252.22,11.780999999999999,303.638,2,1917,1319,29.604,250.69400000000002,1,1470251070,3467677.5532027367,0,False,0,5.0
12,13,flattened:0003-0365-0969:02_1470251130,60526,967.049,363.996,296.901,259.562,4.698,324.127,3,808,375,4.7780000000000005,266.35900000000004,2,1470251130,4191386.143536648,0,False,0,0.0
13,14,flattened:0003-0599-1312:02_1470251130,54869,1311.6370000000002,596.387,272.147,256.705,31.392,280.927,3,1200,683,40.38,256.0,2,1470251130,3151189.9888645844,0,False,0,1.0
14,15,flattened:0003-0866-1710:02_1470251130,56155,1707.954,867.841,280.945,254.49400000000003,147.862,290.904,3,1575,804,155.638,261.053,2,1470251130,3423297.1145562865,0,False,0,2.0
15,16,flattened:0003-0951-1019:02_1470251130,60413,1026.0810000000001,950.319,297.77299999999997,258.318,135.639,318.057,3,935,824,125.789,270.528,2,1470251130,4151035.3082234575,0,False,0,3.0
16,17,flattened:0003-1124-0605:02_1470251130,55062,607.646,1122.423,270.256,259.41,143.92,290.291,3,472,1070,154.494,254.803,2,1470251130,3297183.079717392,0,False,0,4.0
17,18,flattened:0003-1243-2050:02_1470251130,55751,2049.4829999999997,1243.553,283.504,250.382,12.68,306.498,3,1919,1322,30.162,250.24200000000002,2,1470251130,3513064.575371907,0,False,0,5.0
18,19,flattened:0004-0487-0976:03_1470251190,45866,974.328,489.776,254.81,229.18400000000003,126.566,263.828,4,887,391,133.618,229.45,3,1470251190,2443453.6041173628,1,True,1,6.0
19,20,flattened:0004-0880-1605:03_1470251190,45504,1604.719,877.2239999999999,257.125,225.328,155.12,284.074,4,1470,832,160.034,226.922,3,1470251190,2716322.676226454,1,True,1,7.0
20,21,flattened:0005-0400-0474:04_1470251250,42275,477.075,399.345,245.639,219.127,127.712,252.301,5,387,312,131.143,221.80200000000002,4,1470251250,2169436.625298448,1,False,1,8.0
21,22,flattened:0005-0488-2308:04_1470251250,44420,2309.4429999999998,491.286,255.405,221.44099999999997,98.221,274.643,5,2289,352,96.271,227.83,4,1470251250,2582658.8818203,1,False,1,9.0
22,23,flattened:0005-0882-0793:04_1470251250,44529,790.115,884.252,252.419,224.611,133.976,260.837,5,689,802,142.164,226.299,4,1470251250,2353312.136860606,1,False,1,6.0
23,24,flattened:0005-1286-1413:04_1470251250,43859,1411.642,1283.378,251.903,221.685,153.44899999999998,278.21,5,1282,1236,159.155,222.679,4,1470251250,2558311.0127780074,1,False,1,7.0
24,25,flattened:0006-0400-0470:05_1470251310,42528,473.27099999999996,400.094,246.676,219.512,137.388,253.213,6,367,332,142.542,222.454,5,1470251310,2190977.540811392,1,False,1,8.0
25,26,flattened:0006-0488-2318:05_1470251310,44822,2316.571,492.49,257.32599999999996,221.778,81.358,277.714,6,2285,624,76.464,229.06900000000002,5,1470251310,2649689.4207336423,1,False,1,9.0
26,27,flattened:0006-0882-0793:05_1470251310,44757,790.5189999999999,884.5360000000001,253.417,224.872,135.156,261.222,6,687,805,143.876,226.38099999999997,5,1470251310,2360086.737837316,1,False,1,6.0
27,28,flattened:0006-1285-1413:05_1470251310,44221,1411.987,1282.6589999999999,253.204,222.36599999999999,153.482,279.861,6,1282,1234,158.845,223.77200000000002,5,1470251310,2600587.044342408,1,False,1,7.0
28,29,flattened:0007-0402-0469:06_1470251370,42747,471.23,400.82,247.299,220.08599999999998,145.507,253.797,7,358,345,151.011,224.021,6,1470251370,2220835.4228894184,1,False,1,8.0
29,30,flattened:0007-0490-2319:06_1470251370,44904,2317.342,494.415,257.53,222.007,81.058,277.95,7,2287,626,76.264,229.78900000000002,6,1470251370,2664712.919307994,1,False,1,9.0
30,31,flattened:0007-0883-0792:06_1470251370,44858,790.1460000000001,884.715,253.63299999999998,225.187,135.615,261.603,7,688,803,143.393,227.09599999999998,6,1470251370,2376037.0510446606,1,False,1,6.0
31,32,flattened:0007-1285-1412:06_1470251370,44284,1410.8329999999999,1282.111,252.63099999999997,223.188,150.888,279.652,7,1285,1225,155.268,224.138,6,1470251370,2603019.884077606,1,False,1,7.0
32,33,flattened:0008-0403-0469:07_1470251430,42914,470.966,401.83,247.97799999999998,220.34099999999998,156.32399999999998,254.31099999999998,8,348,371,162.84799999999998,224.18200000000002,7,1470251430,2230260.659650591,1,False,1,8.0
33,34,flattened:0008-0492-2320:07_1470251430,45177,2318.542,496.728,258.047,222.90900000000002,80.597,278.297,8,2283,627,74.366,230.858,7,1470251430,2687069.481632824,1,False,1,9.0
34,35,flattened:0008-0883-0792:07_1470251430,45118,789.745,885.3710000000001,254.095,226.081,135.585,261.813,8,687,804,143.69899999999998,227.94799999999998,7,1470251430,2391560.9554776703,1,False,1,6.0
