,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0203-1014:00_1470255532,50487,1018.439,204.519,263.73400000000004,243.739,104.052,277.195,1,966,77,113.60600000000001,246.1,0,1470255532,2917216.1753052957,0,False,0,0.0
1,2,flattened:0001-0487-0688:00_1470255532,54021,693.9760000000001,488.535,278.092,247.334,47.722,304.345,1,612,617,54.9,250.455,0,1470255532,3476467.8283790215,0,False,0,1.0
2,3,flattened:0001-0824-1276:00_1470255532,50253,1276.415,828.0989999999999,260.026,246.06799999999998,59.702,270.95799999999997,1,1213,949,69.023,247.235,0,1470255532,2832718.9223651644,0,False,0,2.0
3,4,flattened:0001-1125-1551:00_1470255532,49839,1552.556,1125.141,263.496,240.827,157.343,275.746,1,1416,1105,168.283,244.049,0,1470255532,2859072.3823811244,0,False,0,3.0
4,5,flattened:0001-1192-0764:00_1470255532,54242,765.87,1192.933,270.416,255.396,165.90400000000002,281.86,1,624,1191,4.477,256.195,0,1470255532,3171092.219949532,0,False,0,4.0
5,6,flattened:0001-1295-1190:00_1470255532,58336,1190.339,1298.7939999999999,278.345,266.848,60.306000000000004,302.35200000000003,1,1107,1428,51.31100000000001,259.472,0,1470255532,3610187.1818429413,0,False,0,5.0
6,7,flattened:0001-1411-0479:00_1470255532,55792,479.375,1410.465,271.395,261.747,73.687,296.94599999999997,1,422,1272,108.86200000000001,258.025,0,1470255532,3479683.361434434,0,False,0,6.0
7,8,flattened:0001-1646-1852:00_1470255532,54962,1854.0410000000002,1648.27,273.968,255.43,24.56,289.61400000000003,1,1746,1746,37.424,256.0,0,1470255532,3306628.2652794174,0,False,0,7.0
8,9,flattened:0002-0204-1014:01_1470255592,50774,1018.671,205.767,264.579,244.34099999999998,107.397,278.959,2,964,78,119.414,247.842,1,1470255592,2976244.662725609,0,False,0,0.0
9,10,flattened:0002-0484-0688:01_1470255592,54048,694.201,486.728,277.506,247.981,47.68600000000001,301.728,2,606,610,51.458999999999996,251.75900000000001,1,1470255592,3451843.775884515,0,False,0,1.0
10,11,flattened:0002-0823-1277:01_1470255592,50275,1276.96,827.8960000000001,260.29200000000003,245.924,53.521,271.95,2,1199,941,62.398,246.88299999999998,1,1470255592,2843227.6331574805,0,False,0,2.0
11,12,flattened:0002-1126-1551:01_1470255592,49830,1552.724,1125.746,262.45599999999996,241.737,157.246,274.855,2,1418,1098,167.17700000000002,243.64700000000002,1,1470255592,2837789.4204272153,0,False,0,3.0
12,13,flattened:0002-1192-0764:01_1470255592,54359,766.6260000000001,1192.934,271.192,255.21400000000003,166.075,281.306,2,624,1198,8.793,255.44400000000002,1,1470255592,3148074.6112787137,0,False,0,4.0
13,14,flattened:0002-1293-1187:01_1470255592,58638,1188.9089999999999,1298.305,278.75,267.84,54.437,301.281,2,1103,1424,50.657,262.97,1,1470255592,3657176.073719494,0,False,0,5.0
14,15,flattened:0002-1410-0480:01_1470255592,56128,479.064,1409.4189999999999,273.199,261.58299999999997,62.033,297.8,2,338,1450,16.183,257.96299999999997,1,1470255592,3494602.216954553,0,False,0,6.0
15,16,flattened:0002-1645-1851:01_1470255592,54918,1853.8129999999999,1646.7979999999998,274.188,255.02200000000002,25.635,288.64,2,1746,1744,37.823,256.0,1,1470255592,3288951.427729619,0,False,0,7.0
16,17,flattened:0003-0204-1013:02_1470255652,50611,1018.341,206.377,265.611,242.61,104.411,279.45099999999996,3,964,78,119.59200000000001,247.791,2,1470255652,2983725.417054252,0,False,0,0.0
17,18,flattened:0003-0482-0689:02_1470255652,54046,694.31,486.00699999999995,277.346,248.114,53.431999999999995,298.466,3,606,607,50.711000000000006,253.09099999999998,2,1470255652,3415859.976799895,0,False,0,1.0
18,19,flattened:0003-0822-1278:02_1470255652,50228,1279.535,828.2130000000001,260.83099999999996,245.18599999999998,47.919,271.671,3,1184,927,54.438,247.326,2,1470255652,2845924.667108457,0,False,0,2.0
19,20,flattened:0003-1125-1551:02_1470255652,49841,1551.797,1125.618,263.202,241.106,161.161,274.367,3,1417,1102,168.649,244.87900000000002,2,1470255652,2850022.8138001547,0,False,0,3.0
20,21,flattened:0003-1192-0762:02_1470255652,54586,764.247,1192.012,272.022,255.498,162.966,282.781,3,621,1183,175.74099999999999,257.272,2,1470255652,3206549.9263317715,0,False,0,4.0
21,22,flattened:0003-1288-1186:02_1470255652,59239,1188.407,1297.326,279.775,269.594,44.32,301.39,3,1097,1419,46.882,266.982,2,1470255652,3737893.1467241105,0,False,0,5.0
22,23,flattened:0003-1409-0479:02_1470255652,56361,478.028,1407.993,275.643,260.341,58.73,298.639,3,336,1444,15.339,259.777,2,1470255652,3544887.179265171,0,False,0,6.0
23,24,flattened:0003-1644-1851:02_1470255652,55106,1852.835,1646.6870000000001,274.577,255.532,28.445999999999998,289.546,3,1744,1743,38.691,257.0,2,1470255652,3323602.0493040797,0,False,0,7.0
24,33,flattened:0006-0432-0713:05_1470255832,42618,714.138,432.707,239.125,226.922,119.508,247.833,6,610,365,148.362,219.68099999999998,5,1470255832,2080236.5341298748,1,False,1,8.0
25,34,flattened:0006-0626-1806:05_1470255832,43782,1806.664,627.0930000000001,252.30900000000003,220.93900000000002,53.218999999999994,263.61,6,1736,740,61.199,224.678,5,1470255832,2370047.2894305075,1,False,1,9.0
26,35,flattened:0006-0933-1057:05_1470255832,43242,1059.3010000000002,933.297,246.75599999999997,223.125,65.793,258.496,6,1035,1060,79.29899999999999,219.047,5,1470255832,2217003.137498487,1,False,1,10.0
27,36,flattened:0006-1229-0789:05_1470255832,41445,785.868,1229.823,239.433,220.393,148.308,248.697,6,676,1173,157.043,222.585,5,1470255832,2130940.9528283,1,False,1,11.0
28,37,flattened:0006-1233-1272:05_1470255832,42756,1271.759,1232.836,240.43099999999998,226.421,158.714,254.975,6,1228,1111,106.87100000000001,221.67700000000002,5,1470255832,2204616.8195400196,1,False,1,12.0
29,38,flattened:0007-0431-0711:06_1470255892,42924,712.823,431.436,239.622,228.078,116.84899999999999,248.55599999999998,7,612,358,145.159,220.588,6,1470255892,2102070.8836080837,1,False,1,8.0
30,39,flattened:0007-0626-1808:06_1470255892,44319,1809.405,626.9580000000001,253.322,222.755,54.74,264.91700000000003,7,1749,746,65.467,226.18200000000002,6,1470255892,2411215.3899430106,1,False,1,9.0
31,40,flattened:0007-0931-1058:06_1470255892,43829,1059.704,931.471,248.18400000000003,224.852,63.582,259.478,7,1037,1059,79.34,220.29,6,1470255892,2248136.5708473357,1,False,1,10.0
32,41,flattened:0007-1225-0792:06_1470255892,42319,789.176,1230.775,241.583,223.03799999999998,146.695,250.928,7,678,1175,157.011,225.407,6,1470255892,2200221.1670398046,1,False,1,11.0
33,42,flattened:0007-1232-1273:06_1470255892,43319,1273.531,1232.1680000000001,242.785,227.178,157.487,256.32,7,1228,1110,106.314,223.734,6,1470255892,2252159.455378308,1,False,1,12.0
34,43,flattened:0008-0428-0712:07_1470255952,42905,713.012,428.839,239.347,228.239,114.839,248.65400000000002,8,613,354,144.328,220.42,7,1470255952,2101130.0871292776,1,False,1,8.0
35,44,flattened:0008-0626-1808:07_1470255952,44504,1810.156,627.497,253.543,223.49,56.143,265.006,8,1753,748,65.95,227.081,7,1470255952,2425797.4399527446,1,False,1,9.0
36,45,flattened:0008-0930-1058:07_1470255952,44012,1060.239,930.873,248.613,225.40200000000002,63.443999999999996,259.856,8,1035,1058,78.906,221.093,7,1470255952,2264779.554577218,1,False,1,10.0
37,46,flattened:0008-1227-0794:07_1470255952,42418,791.419,1232.8319999999999,242.02700000000002,223.149,146.614,250.928,8,680,1178,157.011,226.362,7,1470255952,2213481.3309815344,1,False,1,11.0
38,47,flattened:0008-1232-1274:07_1470255952,43532,1274.742,1231.545,244.292,226.887,157.609,257.61400000000003,8,1147,1211,170.391,223.16,7,1470255952,2262308.239154947,1,False,1,12.0
39,48,flattened:0009-0427-0712:08_1470256012,43104,712.745,428.44599999999997,239.549,229.104,111.617,249.239,9,612,354,144.142,221.38400000000001,8,1470256012,2122014.27602756,1,False,1,8.0
40,49,flattened:0009-0628-1808:08_1470256012,44546,1810.6889999999999,628.4830000000001,253.628,223.62599999999998,59.43,265.24,9,1753,749,66.915,227.53099999999998,8,1470256012,2435927.0686499407,1,False,1,9.0
41,50,flattened:0009-0928-1061:08_1470256012,44294,1062.266,928.91,249.11,226.394,61.946999999999996,260.279,9,1039,1057,79.597,221.77700000000002,8,1470256012,2280454.102252775,1,False,1,10.0
42,51,flattened:0009-1231-1273:08_1470256012,43874,1275.164,1230.945,246.418,226.697,158.51,262.07099999999997,9,1144,1214,171.22099999999998,223.74200000000002,8,1470256012,2334190.2658245587,1,False,1,12.0
43,52,flattened:0009-1231-0798:08_1470256012,42491,794.547,1235.124,242.581,223.023,146.83,252.24,9,682,1182,156.891,227.088,8,1470256012,2241956.8766100435,1,False,1,11.0
44,53,flattened:0010-0426-0711:09_1470256072,43173,712.053,427.153,239.235,229.773,113.45299999999999,249.65,10,606,360,147.265,222.257,9,1470256072,2139430.1702387882,1,False,1,8.0
45,54,flattened:0010-0628-1809:09_1470256072,44551,1811.033,628.377,253.827,223.475,59.537,265.731,10,1758,751,68.359,227.095,9,1470256072,2436742.8082707147,1,False,1,9.0
46,55,flattened:0010-0928-1061:09_1470256072,44532,1063.029,928.29,249.549,227.21,61.08,261.228,10,1040,1057,78.518,222.58700000000002,9,1470256072,2305509.1187995775,1,False,1,10.0
47,56,flattened:0010-1230-1273:09_1470256072,44197,1275.503,1229.622,247.551,227.32,157.93,263.752,10,1143,1214,171.71599999999998,225.032,9,1470256072,2377277.0675726277,1,False,1,12.0
48,57,flattened:0010-1233-0799:09_1470256072,42771,796.808,1237.515,243.298,223.832,146.053,253.16,10,684,1184,156.98,227.62900000000002,9,1470256072,2262519.9957121736,1,False,1,11.0
49,58,flattened:0011-0427-0711:10_1470256132,43328,712.424,426.82800000000003,239.637,230.21,113.29899999999999,250.192,11,606,359,147.072,222.865,10,1470256132,2155109.1826162892,1,False,1,8.0
50,59,flattened:0011-0628-1808:10_1470256132,44444,1809.6329999999998,628.605,253.62599999999998,223.11599999999999,59.167,265.548,11,1756,751,67.878,226.15099999999998,10,1470256132,2420063.896015956,1,False,1,9.0
51,60,flattened:0011-0928-1061:10_1470256132,44696,1063.098,928.1,250.18599999999998,227.46599999999998,60.378,262.427,11,1043,1058,79.461,223.55700000000002,10,1470256132,2336655.9494092697,1,False,1,10.0
52,61,flattened:0011-1230-1273:10_1470256132,44393,1276.055,1229.154,248.21900000000002,227.71400000000003,157.879,264.518,11,1143,1215,170.645,226.202,10,1470256132,2405637.213889875,1,False,1,12.0
53,62,flattened:0011-1236-0801:10_1470256132,42985,797.7410000000001,1238.623,243.93400000000003,224.365,145.101,253.43200000000002,11,686,1182,156.267,228.34799999999998,10,1470256132,2276539.3390105846,1,False,1,11.0
54,63,flattened:0012-0427-0711:11_1470256192,43491,712.5089999999999,426.55800000000005,239.595,231.11700000000002,113.75200000000001,251.645,12,605,359,147.826,223.97799999999998,11,1470256192,2190369.5896945633,1,False,1,8.0
55,64,flattened:0012-0631-1809:11_1470256192,44078,1809.704,630.365,253.77900000000002,221.145,59.876000000000005,265.452,12,1762,755,69.722,223.38299999999998,11,1470256192,2378021.284535056,1,False,1,9.0
56,65,flattened:0012-0929-1060:11_1470256192,44902,1062.2839999999999,928.163,250.65599999999998,228.085,61.923,262.711,12,1045,1059,80.358,224.87599999999998,11,1470256192,2359854.41677654,1,False,1,10.0
57,66,flattened:0012-1230-1274:11_1470256192,44585,1275.95,1229.214,248.855,228.114,158.906,265.347,12,1144,1205,168.47799999999998,226.96,11,1470256192,2429052.437944037,1,False,1,12.0
58,67,flattened:0012-1237-0802:11_1470256192,43290,798.841,1239.537,244.313,225.606,144.005,254.34799999999998,12,687,1182,156.358,229.247,11,1470256192,2302365.4704917,1,False,1,11.0
59,68,flattened:0013-0423-0712:12_1470256252,43805,713.257,424.765,240.79,231.63,114.58200000000001,252.05,13,604,360,150.791,224.72400000000002,12,1470256252,2206310.0806583264,1,False,1,8.0
60,69,flattened:0013-0630-1810:12_1470256252,44167,1810.9489999999998,630.021,253.78,221.59,59.49100000000001,265.927,13,1761,754,67.678,224.058,12,1470256252,2394843.9121038434,1,False,1,9.0
61,70,flattened:0013-0927-1059:12_1470256252,45191,1061.234,926.0880000000001,251.747,228.55900000000003,61.078,264.358,13,1044,1058,80.858,225.635,12,1470256252,2394961.216087254,1,False,1,10.0
62,71,flattened:0013-1229-1274:12_1470256252,44666,1276.319,1228.318,249.037,228.362,159.336,265.936,13,1144,1203,168.94400000000002,227.24400000000003,12,1470256252,2441997.5638140053,1,False,1,12.0
63,72,flattened:0013-1239-0803:12_1470256252,43510,800.178,1240.318,245.005,226.112,144.417,255.157,13,687,1185,157.657,229.956,12,1470256252,2324114.907553447,1,False,1,11.0
64,73,flattened:0014-0421-0716:13_1470256312,43689,717.073,420.76300000000003,240.27900000000002,231.50799999999998,125.932,252.92700000000002,14,601,367,157.694,224.987,13,1470256312,2222174.2780909324,1,False,1,8.0
65,74,flattened:0014-0630-1815:13_1470256312,44145,1814.6770000000001,629.501,254.03900000000002,221.25400000000002,58.403999999999996,266.43,14,1761,752,66.321,225.43200000000002,13,1470256312,2422471.4738097237,1,False,1,9.0
66,75,flattened:0014-0927-1062:13_1470256312,45461,1063.93,925.913,252.078,229.622,62.516000000000005,265.56,14,1043,1058,79.367,229.575,13,1470256312,2471153.582695855,1,False,1,10.0
67,76,flattened:0014-1229-1275:13_1470256312,44763,1277.351,1227.374,249.127,228.775,158.89700000000002,265.505,14,1145,1204,170.68,226.827,13,1470256312,2429422.5082137864,1,False,1,12.0
68,77,flattened:0014-1241-0805:13_1470256312,43701,801.403,1241.73,245.215,226.91099999999997,143.845,255.06900000000002,14,690,1183,155.445,230.885,13,1470256312,2336223.2478103177,1,False,1,11.0
69,78,flattened:0015-0421-0716:14_1470256372,43931,717.217,420.592,241.00099999999998,232.093,129.82399999999998,252.771,15,597,379,163.214,226.09,14,1470256372,2235410.373212888,1,False,1,8.0
70,79,flattened:0015-0629-1817:14_1470256372,44042,1815.797,628.5369999999999,254.666,220.195,57.078,266.83299999999997,15,1761,751,66.125,226.75,14,1470256372,2447988.8615812706,1,False,1,9.0
