,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0541-0661:00_1470263456,51914,658.441,538.898,262.635,251.676,113.14299999999999,272.399,1,579,427,124.682,252.149,0,1470263456,2938221.714397623,0,False,0,0.0
1,2,flattened:0001-0550-2302:00_1470263456,58773,2302.283,548.8380000000001,275.723,271.403,57.893,290.496,1,2193,645,41.371,266.314,0,1470263456,3514389.855255953,0,False,0,1.0
2,3,flattened:0001-0680-0284:00_1470263456,51046,283.66900000000004,678.8430000000001,262.371,247.717,101.383,273.35900000000004,1,247,547,103.325,247.393,0,1470263456,2874893.0783275925,0,False,0,2.0
3,4,flattened:0001-0696-1150:00_1470263456,57326,1149.8039999999999,694.424,278.504,262.078,65.608,291.625,1,1114,836,74.486,259.615,0,1470263456,3409973.701811803,0,False,0,3.0
4,5,flattened:0001-0799-1930:00_1470263456,57414,1928.786,795.7489999999999,279.98400000000004,261.093,33.422,290.878,1,1801,866,30.355999999999998,263.328,0,1470263456,3465313.4750039033,0,False,0,4.0
5,6,flattened:0001-0921-1527:00_1470263456,60917,1524.296,921.6039999999999,279.91700000000003,277.089,20.058,302.65,1,1385,864,160.907,268.025,0,1470263456,3783514.476477543,0,False,0,5.0
6,7,flattened:0001-0939-2342:00_1470263456,59729,2342.811,937.915,283.387,268.358,56.978,294.04900000000004,1,2286,1074,65.70100000000001,268.819,0,1470263456,3630350.312126044,0,False,0,6.0
7,8,flattened:0001-0966-0728:00_1470263456,60053,728.7189999999999,967.3330000000001,283.02,270.164,91.213,293.973,1,699,824,103.374,269.228,0,1470263456,3636797.4116226346,0,False,0,7.0
8,9,flattened:0001-1196-1158:00_1470263456,59985,1156.5230000000001,1193.67,283.657,269.252,158.44299999999998,299.082,1,1013,1152,165.081,267.839,0,1470263456,3709338.703919756,0,False,0,8.0
9,10,flattened:0002-0551-2305:01_1470263516,58804,2306.218,551.456,275.47900000000004,271.78700000000003,55.602,288.467,2,2227,673,55.593999999999994,264.763,1,1470263516,3447037.6359195374,0,False,0,1.0
10,11,flattened:0002-0545-0662:01_1470263516,51983,659.2410000000001,543.835,263.064,251.6,117.102,273.88,2,575,434,125.48899999999999,254.10299999999998,1,1470263516,2996323.3282866473,0,False,0,0.0
11,12,flattened:0002-0682-0283:01_1470263516,51079,283.317,681.461,263.41700000000003,246.893,100.61399999999999,275.036,2,246,548,103.885,248.583,1,1470263516,2922638.1459260434,0,False,0,2.0
12,13,flattened:0002-0698-1147:01_1470263516,57230,1147.545,697.663,278.837,261.327,67.194,291.343,2,1121,841,77.109,258.83799999999997,1,1470263516,3390358.4937076396,0,False,0,3.0
13,14,flattened:0002-0803-1931:01_1470263516,57334,1929.549,799.595,280.103,260.618,35.031,291.39799999999997,2,1803,873,31.671999999999997,261.89,1,1470263516,3448121.900025918,0,False,0,4.0
14,15,flattened:0002-0923-1526:01_1470263516,61329,1523.265,921.972,281.237,277.654,29.266,304.665,2,1469,1066,69.84,269.288,1,1470263516,3849088.0706176823,0,False,0,5.0
15,16,flattened:0002-0944-2344:01_1470263516,59540,2343.87,942.3639999999999,283.11400000000003,267.768,57.388999999999996,293.471,2,2292,1080,66.93,267.057,1,1470263516,3585261.130509716,0,False,0,6.0
16,17,flattened:0002-0969-0728:01_1470263516,60511,728.2239999999999,969.715,285.138,270.203,90.337,295.91900000000004,2,698,826,103.285,268.825,1,1470263516,3666770.5462751766,0,False,0,7.0
17,18,flattened:0002-1198-1157:01_1470263516,60215,1155.485,1195.671,283.51599999999996,270.41900000000004,156.377,299.341,2,1012,1155,164.896,268.61,1,1470263516,3729593.189941644,0,False,0,8.0
18,19,flattened:0003-0550-2310:02_1470263576,58714,2307.953,551.466,276.096,270.765,59.063,290.028,3,2239,680,61.137,264.589,2,1470263576,3473028.8388975994,0,False,0,1.0
19,20,flattened:0003-0547-0662:02_1470263576,51847,659.613,545.219,262.725,251.265,113.78299999999999,273.207,3,578,434,123.05,253.122,2,1470263576,2968251.914779119,0,False,0,0.0
20,21,flattened:0003-0682-0285:02_1470263576,51360,284.934,682.538,263.972,247.729,97.958,275.305,3,252,548,103.229,248.61700000000002,2,1470263576,2927714.7678550696,0,False,0,2.0
21,22,flattened:0003-0698-1146:02_1470263576,57289,1146.698,697.7660000000001,279.374,261.093,68.26,292.857,3,1121,842,77.577,259.60200000000003,2,1470263576,3432645.987284323,0,False,0,3.0
22,23,flattened:0003-0806-1932:02_1470263576,57086,1930.664,803.3330000000001,279.837,259.737,36.033,290.689,3,1807,881,32.925,261.144,2,1470263576,3420990.4485348673,0,False,0,4.0
23,24,flattened:0003-0926-1525:02_1470263576,61530,1521.6889999999999,922.755,281.132,278.66700000000003,38.966,307.327,3,1463,1068,68.025,271.046,2,1470263576,3938699.879126623,0,False,0,5.0
24,25,flattened:0003-0943-2344:02_1470263576,59375,2345.513,941.6489999999999,283.291,266.858,52.981,293.552,3,2290,1078,65.443,265.691,2,1470263576,3560660.18092493,0,False,0,6.0
25,26,flattened:0003-0973-0726:02_1470263576,61199,726.565,972.7819999999999,287.387,271.137,88.973,298.73900000000003,3,706,826,100.219,270.353,2,1470263576,3752116.3689693133,0,False,0,7.0
26,27,flattened:0003-1199-1156:02_1470263576,60435,1154.058,1197.495,283.278,271.635,157.339,301.246,3,1010,1157,166.563,270.176,2,1470263576,3798391.5245436635,0,False,0,8.0
35,36,flattened:0007-0338-1445:06_1470263816,46394,1444.741,336.99699999999996,252.21900000000002,234.204,169.13,262.191,7,1314,345,2.186,233.81400000000002,6,1470263816,2484202.650633092,1,False,1,9.0
36,37,flattened:0007-0752-0721:06_1470263816,44381,721.674,752.6039999999999,249.40400000000002,226.571,163.795,258.745,7,593,745,173.342,227.91299999999998,6,1470263816,2346391.401526614,1,False,1,10.0
37,38,flattened:0007-1174-1348:06_1470263816,46001,1348.098,1172.155,258.603,226.488,166.218,269.863,7,1216,1150,169.106,232.74900000000002,6,1470263816,2584802.81135477,1,False,1,11.0
38,39,flattened:0007-1474-2179:06_1470263816,44355,2180.149,1473.4679999999998,250.655,225.308,77.171,261.503,7,2165,1344,96.147,223.532,6,1470263816,2322994.023450083,1,False,1,12.0
39,40,flattened:0008-0337-1445:07_1470263876,46434,1445.264,336.051,252.218,234.407,169.362,261.843,8,1315,351,4.6,234.35,7,1470263876,2487028.471774244,1,False,1,9.0
40,41,flattened:0008-0752-0721:07_1470263876,44519,721.862,752.012,249.567,227.127,163.752,259.372,8,593,743,172.245,227.774,7,1470263876,2353457.067256615,1,False,1,10.0
41,42,flattened:0008-1173-1348:07_1470263876,46120,1347.886,1171.042,258.67900000000003,227.007,166.197,269.948,8,1215,1152,170.18900000000002,232.993,7,1470263876,2589882.0189843676,1,False,1,11.0
42,43,flattened:0008-1474-2179:07_1470263876,44396,2179.819,1473.174,250.82299999999998,225.365,77.942,261.199,8,2162,1344,95.492,223.282,7,1470263876,2315043.240563647,1,False,1,12.0
43,44,flattened:0009-0336-1449:08_1470263936,46571,1448.392,335.069,252.558,234.782,165.727,262.42900000000003,9,1318,351,3.2769999999999997,234.403,8,1470263936,2496649.2765821274,1,False,1,9.0
44,45,flattened:0009-0752-0722:08_1470263936,44613,721.882,751.84,249.648,227.532,163.025,259.307,9,593,745,174.245,228.071,8,1470263936,2356821.12306745,1,False,1,10.0
45,46,flattened:0009-1172-1348:08_1470263936,46295,1348.067,1170.132,259.012,227.575,166.387,270.248,9,1216,1145,168.69,233.93200000000002,8,1470263936,2609069.808684573,1,False,1,11.0
46,47,flattened:0009-1474-2179:08_1470263936,44483,2179.445,1472.588,250.87599999999998,225.75900000000001,77.877,261.222,9,2159,1344,97.479,223.55700000000002,8,1470263936,2319317.7568826554,1,False,1,12.0
47,48,flattened:0010-0336-1449:09_1470263996,46742,1449.408,334.519,253.1,235.139,163.26,263.372,10,1318,330,176.953,235.69299999999998,9,1470263996,2530464.200921523,1,False,1,9.0
48,49,flattened:0010-0752-0722:09_1470263996,44728,722.183,751.205,249.622,228.143,162.86700000000002,259.79400000000004,10,593,743,171.58900000000003,228.722,9,1470263996,2373368.832089773,1,False,1,10.0
49,50,flattened:0010-1171-1348:09_1470263996,46361,1347.7679999999998,1168.781,258.981,227.92700000000002,168.868,270.407,10,1214,1154,172.34900000000002,234.35299999999998,9,1470263996,2618084.4581277194,1,False,1,11.0
50,51,flattened:0010-1473-2179:09_1470263996,44584,2178.974,1472.221,251.25099999999998,225.933,79.631,261.92,10,2159,1343,98.56299999999999,224.079,9,1470263996,2336872.3202429167,1,False,1,12.0
51,52,flattened:0011-0335-1450:10_1470264056,46986,1450.138,333.657,253.46400000000003,236.02700000000002,163.84799999999998,264.371,11,1318,330,176.96400000000003,236.892,10,1470264056,2564045.9535671137,1,False,1,9.0
52,53,flattened:0011-0750-0722:10_1470264056,44853,723.203,750.819,250.03799999999998,228.4,161.765,260.849,11,593,746,173.175,230.123,10,1470264056,2409345.2262655664,1,False,1,10.0
53,54,flattened:0011-1171-1348:10_1470264056,46440,1347.739,1168.573,258.742,228.52599999999998,169.33700000000002,270.407,11,1214,1153,172.34900000000002,234.463,10,1470264056,2619796.472085562,1,False,1,11.0
54,55,flattened:0011-1473-2179:10_1470264056,44838,2178.915,1471.61,251.59,226.915,80.524,262.711,11,2153,1343,99.64200000000001,225.408,10,1470264056,2367587.2696543625,1,False,1,12.0
55,56,flattened:0012-0335-1450:11_1470264116,47213,1450.906,333.30400000000003,253.753,236.898,165.05599999999998,265.092,12,1318,341,1.5130000000000001,238.15599999999998,11,1470264116,2594627.580858016,1,False,1,9.0
56,57,flattened:0012-0750-0723:11_1470264116,45088,723.405,750.546,250.39700000000002,229.267,161.542,261.39799999999997,12,593,744,174.071,230.08,11,1470264116,2416802.1824303786,1,False,1,10.0
57,58,flattened:0012-1170-1348:11_1470264116,46449,1347.599,1167.81,258.60400000000004,228.692,173.85299999999998,270.416,12,1213,1161,176.82,235.977,11,1470264116,2643576.8410049337,1,False,1,11.0
58,59,flattened:0012-1472-2179:11_1470264116,45033,2178.881,1471.632,251.78799999999998,227.72299999999998,81.115,263.697,12,2154,1342,99.605,226.767,11,1470264116,2401874.2416770826,1,False,1,12.0
59,60,flattened:0013-0334-1451:12_1470264176,47416,1451.411,333.10900000000004,253.951,237.731,164.84400000000002,265.228,13,1319,331,177.623,238.96599999999998,12,1470264176,2609287.159580723,1,False,1,9.0
60,61,flattened:0013-0749-0723:12_1470264176,45265,723.722,750.439,250.58900000000003,229.99,161.311,261.962,13,593,744,172.983,230.71,12,1470264176,2434459.1961482195,1,False,1,10.0
61,62,flattened:0013-1170-1348:12_1470264176,46380,1348.174,1167.655,258.344,228.582,175.882,269.67,13,1214,1175,4.04,236.394,12,1470264176,2638427.6475456473,1,False,1,11.0
62,63,flattened:0013-1472-2180:12_1470264176,45244,2178.718,1471.4489999999998,251.831,228.75099999999998,79.604,263.37,13,2153,1342,99.176,227.59900000000002,12,1470264176,2409301.0608660346,1,False,1,12.0
